epoch,accuracy,loss,val_accuracy,val_loss
0,0.995799720287323,0.02439427375793457,0.9958357214927673,0.02223993092775345
1,0.9958328604698181,0.018272466957569122,0.9958357214927673,0.01722719334065914
2,0.9958328604698181,0.016838278621435165,0.9958357214927673,0.01706794463098049
3,0.9958328604698181,0.01591668650507927,0.9958357214927673,0.016194598749279976
4,0.9958378672599792,0.015234582126140594,0.9958370327949524,0.01559420395642519
0,0.995640218257904,0.024820933118462563,0.9958357214927673,0.01828755997121334
1,0.9958328604698181,0.017722100019454956,0.9958357214927673,0.01679537445306778
2,0.9958328604698181,0.016936110332608223,0.9958357214927673,0.015867015346884727
3,0.9958328604698181,0.016116462647914886,0.9958357214927673,0.015400500036776066
4,0.9958328604698181,0.015585094690322876,0.9958357214927673,0.015579127706587315
0,0.9946625828742981,0.02650195173919201,0.9958357214927673,0.022064169868826866
1,0.9958328604698181,0.018686721101403236,0.9958357214927673,0.020573660731315613
2,0.9958328604698181,0.01721690595149994,0.9958357214927673,0.018430247902870178
3,0.9958328604698181,0.01642683893442154,0.9958357214927673,0.017179036512970924
4,0.9958328604698181,0.01580873876810074,0.9958357214927673,0.016391973942518234
0,0.9956780076026917,0.025241047143936157,0.9958357214927673,0.022243469953536987
1,0.9958328604698181,0.018169881775975227,0.9958357214927673,0.017637092620134354
2,0.9958328604698181,0.01672593504190445,0.9958357214927673,0.017109766602516174
3,0.9958328604698181,0.016296014189720154,0.9958357214927673,0.01567698083817959
4,0.9958325624465942,0.01557621918618679,0.9958357214927673,0.015149073675274849
0,0.995646059513092,0.024490205571055412,0.9958357214927673,0.018927663564682007
1,0.9958328604698181,0.017572015523910522,0.9958357214927673,0.017596714198589325
2,0.9958328604698181,0.016347015276551247,0.9958357214927673,0.015929900109767914
3,0.9958330988883972,0.015595747157931328,0.9958361983299255,0.015670882537961006
4,0.9958462715148926,0.014665814116597176,0.9958636164665222,0.015106947161257267
0,0.9921161532402039,0.039054177701473236,0.9931856989860535,0.02881353721022606
1,0.9929702281951904,0.029048532247543335,0.9931856989860535,0.027592333033680916
2,0.9929702281951904,0.02686806209385395,0.9931856989860535,0.02542995661497116
3,0.9929702281951904,0.02601264789700508,0.9931856989860535,0.0245360117405653
4,0.9929701089859009,0.025361398234963417,0.9931856989860535,0.02390059269964695
0,0.9911472797393799,0.04851227253675461,0.9931856989860535,0.02936602011322975
1,0.9929702281951904,0.029851151630282402,0.9931856989860535,0.02833673730492592
2,0.9929702281951904,0.027571670711040497,0.9931856989860535,0.026256682351231575
3,0.9929702281951904,0.026299474760890007,0.9931856989860535,0.024722978472709656
4,0.9929702281951904,0.025570470839738846,0.9931856989860535,0.024243630468845367
0,0.9925077557563782,0.03780543431639671,0.9931856989860535,0.028453869745135307
1,0.9929702281951904,0.028630787506699562,0.9931856989860535,0.027821501716971397
2,0.9929702281951904,0.026782480999827385,0.9931856989860535,0.024873990565538406
3,0.9929702281951904,0.02575129270553589,0.9931856989860535,0.024715490639209747
4,0.9929702281951904,0.024921031668782234,0.9931856989860535,0.02341296151280403
5,0.9929696917533875,0.024128185585141182,0.9931856989860535,0.022204255685210228
6,0.9931307435035706,0.02253882586956024,0.993436872959137,0.022826138883829117
7,0.993738055229187,0.020265625789761543,0.9941662549972534,0.019003210589289665
8,0.9942297339439392,0.018192855641245842,0.994670569896698,0.016641229391098022
9,0.9946107268333435,0.016677483916282654,0.9948682188987732,0.015815475955605507
10,0.9949005842208862,0.015541155822575092,0.9951645731925964,0.015324067324399948
11,0.9951938390731812,0.014432244934141636,0.9953768849372864,0.014377213083207607
12,0.9953786730766296,0.013753022067248821,0.9954545497894287,0.014125009067356586
13,0.9956144094467163,0.012993940152227879,0.9957054853439331,0.013288496993482113
14,0.9958457350730896,0.0121605908498168,0.9957011938095093,0.013361780904233456
15,0.9959682822227478,0.01176607608795166,0.9957700371742249,0.013310239650309086
16,0.9961714148521423,0.011108696460723877,0.9958947896957397,0.012902669608592987
17,0.9962949156761169,0.010743776336312294,0.9957993626594543,0.012961085885763168
18,0.9964293241500854,0.010296882130205631,0.9958785772323608,0.012761780992150307
19,0.9965690970420837,0.00985612254589796,0.9959904551506042,0.012564209289848804
20,0.996678352355957,0.009546217508614063,0.9960792064666748,0.012430206872522831
21,0.9967535734176636,0.009312166832387447,0.9960649609565735,0.01258364599198103
22,0.9967954158782959,0.009192614816129208,0.995951235294342,0.013212315738201141
23,0.9969290494918823,0.00880486611276865,0.9960331916809082,0.013027851469814777
24,0.997051477432251,0.008454345166683197,0.9960325956344604,0.013532362878322601
25,0.9970710873603821,0.008377659134566784,0.996031641960144,0.013289500027894974
26,0.9971591830253601,0.008152462542057037,0.9960810542106628,0.013039317913353443
